# Mol_Title	ID	SMILES
ZINC00000897	DUD_sahh_D_1	O=c1[nH]cnc2c1cnn2C1OC(CO)C(O)C1O
ZINC00000897	DUD_sahh_D_2	O=c1nc[nH]c2c1cnn2C1OC(CO)C(O)C1O
ZINC00000897	DUD_sahh_D_3	OCC1OC(n2ncc3c2ncnc3O)C(O)C1O
ZINC00002092	DUD_sahh_D_4	CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O
ZINC00003467	DUD_sahh_D_5	COc1cccc(Sc2c(N)nc(N)[nH]c2=O)c1
ZINC00003467	DUD_sahh_D_6	COc1cccc(Sc2c(N)[nH]c(N)nc2=O)c1
ZINC00003467	DUD_sahh_D_7	COc1cccc(Sc2c(N)nc(N)nc2O)c1
ZINC00004050	DUD_sahh_D_8	COc1ncnc2c1ncn2C1OC(CO)C(O)C1O
ZINC00004093	DUD_sahh_D_9	Nc1nc2c(ncn2C2C=CC(CO)C2)c(=O)[nH]1
ZINC00004189	DUD_sahh_D_10	Nc1nc2c(nnn2C2CC(CO)C(F)C2O)c(=O)[nH]1
ZINC00004189	DUD_sahh_D_11	Nc1nc(=O)c2nnn(C3CC(CO)C(F)C3O)c2[nH]1
ZINC00004189	DUD_sahh_D_12	Nc1nc2c(nnn2C2CC(CO)C(F)C2O)c(O)n1
ZINC00004244	DUD_sahh_D_13	Nc1nc2c(ncn2C2CC(CO)C2O)c(=O)[nH]1
ZINC00004253	DUD_sahh_D_14	Nc1ccn(C2CC(O)C(CO)O2)c(=O)n1
ZINC00004373	DUD_sahh_D_15	CNc1nc2c(ncn2C2CC(O)C(CO)C2)c(=O)[nH]1
ZINC00004392	DUD_sahh_D_16	Nc1nc(-c2ccccc2)c(C(O)CO)c2ncnn21
ZINC00004489	DUD_sahh_D_17	C=C1C(O)C(CO)OC1n1cc(F)c(N)nc1=O
ZINC00004565	DUD_sahh_D_18	Nc1ncnc2c1ncn2C1OC(CO)C(O)C1=C(F)F
ZINC00004835	DUD_sahh_D_19	COC1OC2COC(c3ccc(O)c(O)c3)OC2C(O)C1O
